time,ax,ay,az,aT
3.8030,0.0171,0.1067,0.0254,0.111
3.8150,0.1154,0.0627,-0.1050,0.168
3.8210,0.0753,-0.0767,-0.2618,0.283
3.8490,0.0682,-0.1616,-0.4122,0.448
3.8790,0.1247,-0.1401,-0.4563,0.493
3.8790,-0.0177,-0.1057,-0.2617,0.283
3.8890,-0.0227,-0.0990,-0.2645,0.283
3.8890,-0.3393,0.0739,1.0306,1.087
3.8900,-0.3517,0.0891,1.0243,1.087
3.8910,0.2894,0.0229,0.3286,0.438
3.8990,0.1601,-0.1383,0.1500,0.259
3.9190,0.0906,-0.1903,0.1395,0.253
3.9250,0.0785,-0.1495,0.1397,0.219
3.9270,0.0712,-0.1474,0.1387,0.215
3.9400,0.0851,-0.0867,0.1593,0.200
3.9500,0.0328,-0.1238,0.0761,0.149
3.9570,-0.0267,-0.1382,-0.1490,0.205
3.9700,-0.0248,-0.1092,-0.3140,0.333
3.9810,-0.0324,-0.0470,-0.3736,0.378
4.0050,-0.0312,-0.0303,-0.2828,0.286
4.0100,-0.0416,-0.0362,-0.0674,0.087
4.0110,-0.0541,-0.0549,0.0549,0.095
4.0340,-0.0387,-0.0346,0.1479,0.157
4.0350,0.0083,-0.0096,0.1799,0.180
4.0380,0.0335,-0.0025,0.1573,0.161
4.0460,-0.0092,-0.0283,0.0959,0.100
4.0620,-0.0367,-0.0353,0.0986,0.111
4.0770,-0.1212,-0.0198,0.1618,0.203
4.0870,-0.1419,-0.0245,0.2296,0.271
4.1030,-0.0955,-0.0184,0.2436,0.262
4.1070,0.0107,-0.0177,0.1979,0.199
4.1110,0.1487,-0.0489,0.1320,0.205
4.1300,0.1905,-0.0693,0.0673,0.214
4.1320,0.2295,-0.1180,0.0383,0.261
4.1370,0.2451,-0.1009,0.1011,0.284
4.1470,0.2496,-0.0970,0.0855,0.281
4.1650,0.2229,-0.0952,0.0898,0.259
4.1800,0.1458,-0.0746,0.1645,0.232
4.1800,0.1064,-0.0497,0.1372,0.181
4.1980,0.0110,-0.0741,0.0979,0.123
4.2020,-0.0916,-0.1147,0.0206,0.148
4.2090,-0.0945,-0.1104,0.0190,0.147
4.2240,0.0187,-0.0082,0.1074,0.109
4.2420,0.0611,-0.0014,0.2255,0.234
4.2430,0.0749,0.0123,0.2349,0.247
4.2490,0.0590,0.0049,0.1823,0.192
4.2690,0.0601,0.0142,0.1205,0.135
4.2700,-0.0032,0.0280,0.0688,0.074
4.2780,-0.0031,0.0278,0.0688,0.074
4.2870,-0.0711,0.0277,0.0921,0.120
4.2970,-0.1229,0.0492,0.2630,0.294
4.3290,-0.1295,0.0759,0.2742,0.313
4.3340,-0.1006,0.1339,0.1334,0.214
4.3360,-0.1046,0.1412,0.0911,0.198
4.3380,-0.2860,0.0484,0.1806,0.342
4.3480,-0.2940,-0.0580,0.2372,0.382
4.3730,-0.2430,-0.1005,0.3911,0.471
4.3760,-0.1990,-0.1161,0.3033,0.381
4.3920,-0.0745,-0.1684,0.0281,0.186
4.3950,0.0615,-0.1536,-0.1129,0.200
4.4070,0.2060,-0.1204,-0.2565,0.350
4.4070,0.2951,-0.0758,-0.3182,0.441
4.4190,0.3717,0.0121,-0.2790,0.465
4.4260,0.3870,0.1353,-0.1488,0.436
4.4410,0.2859,0.2361,0.1613,0.404
4.4580,0.1039,0.2257,0.4039,0.474
4.4620,-0.1262,0.2085,0.5392,0.592
4.4670,-0.1747,0.1651,0.6319,0.676
4.4800,-0.0532,0.2253,0.7738,0.808
4.4850,0.0830,0.2397,1.1500,1.178
4.5220,0.1882,0.2442,1.5421,1.573
4.5240,0.3933,-0.1719,1.4966,1.557
4.5260,1.2646,-0.6614,0.8002,1.636
4.5290,3.1246,-1.1179,-6.3407,7.157
4.5390,2.5032,-1.3296,-3.5724,4.560
4.5470,0.2719,-0.4102,2.6078,2.654
4.5580,-1.4295,-0.0559,3.9668,4.217
4.5690,-1.8503,0.5030,3.4565,3.953
4.5790,-1.3462,0.8702,2.6716,3.116
4.5870,-0.5231,1.2907,2.5005,2.862
4.5990,1.1802,0.3690,0.3702,1.291
4.6060,-0.5427,-0.4534,1.5575,1.711
4.6190,-2.4229,0.4051,2.8812,3.786
4.6380,-2.4387,1.2529,0.4354,2.776
4.6400,-1.8030,1.7688,-2.0256,3.238
4.6590,-0.2227,2.0024,-1.9319,2.791
4.6660,0.5413,1.1437,-0.9808,1.601
4.6680,0.4402,0.1181,-0.4939,0.672
4.6760,0.3772,-0.2049,-0.8889,0.987
4.6860,0.4761,0.1789,-2.4726,2.524
4.7050,1.3753,0.4815,-1.9934,2.469
4.7060,3.1850,0.2514,0.9496,3.333
4.7190,0.5408,0.2028,3.3313,3.381
4.7280,-1.9605,0.6285,3.9385,4.444
4.7480,-1.6860,0.5062,2.0760,2.722
4.7500,-0.0690,0.2336,-0.9420,0.973
4.7890,0.0909,0.2375,-1.1227,1.151
4.7920,-0.1479,0.2559,-1.5021,1.531
4.7950,-0.3338,0.0223,-1.7687,1.800
4.7950,-0.2374,-0.0211,-1.1897,1.213
4.7990,-0.1018,-0.1604,-0.7625,0.786
4.8060,-0.1754,-0.0712,-0.7009,0.726
4.8170,-0.3369,0.0622,-0.8641,0.930
4.8300,-0.8932,-0.0793,-0.8111,1.209
4.8390,-1.1850,-0.3146,-0.6534,1.389
4.8460,-0.7128,-0.2882,-0.8536,1.149
4.8570,-0.2604,-0.1564,-1.2911,1.326
4.8790,0.0453,0.0131,-1.6530,1.654
4.8800,0.1550,0.1813,-1.7302,1.747
4.8870,0.0138,0.1416,-1.5810,1.587
4.8980,-0.2571,-0.0676,-1.1429,1.173
4.9050,-0.6533,-0.3772,-0.3802,0.845
4.9370,-0.9459,-0.6511,0.3629,1.204
4.9390,-1.0057,-0.8062,0.8150,1.525
4.9480,-0.9342,-0.8119,0.7832,1.465
4.9530,-0.6642,-0.7098,0.4347,1.065
4.9580,-0.3333,-0.5410,0.1573,0.655
4.9660,-0.1954,-0.3960,-0.0990,0.453
4.9810,-0.2593,-0.4362,-0.2352,0.559
4.9860,-0.5132,-0.5653,-0.2162,0.794
5.0010,-0.5494,-0.6362,-0.3708,0.919
5.0060,-0.2061,-0.5875,-0.5717,0.845
5.0170,0.3179,-0.2238,-0.6019,0.717
5.0260,0.6530,0.1715,-0.6699,0.951
5.0370,0.8323,0.4899,-0.7635,1.231
5.0490,0.8370,0.5780,-0.7950,1.291
5.0570,0.6288,0.4390,-0.7753,1.091
5.0680,0.4010,0.2594,-0.8878,1.008
5.0790,0.1430,-0.0482,-1.0352,1.046
5.0890,0.1627,0.0001,-1.0512,1.064
5.1110,-0.1257,-0.3676,-1.3418,1.397
5.1140,-0.1484,-0.3881,-1.6748,1.726
5.1180,-0.0612,-0.3859,-2.2079,2.242
5.1250,-0.1560,-0.3744,-2.6771,2.708
5.1390,-0.2263,-0.4334,-2.7169,2.761
