time,ax,ay,az,aT
7.7310,5.7946,6.1016,6.8771,10.867
7.7320,6.5275,6.5539,8.6570,12.669
7.7380,6.7267,7.0233,8.6366,13.006
7.7480,6.7473,7.3814,7.8454,12.711
7.7570,6.8499,6.6353,6.7694,11.695
7.7680,5.2829,4.9906,4.6535,8.630
7.7780,4.3711,4.0424,3.1638,6.742
7.7930,4.3412,3.3548,2.4504,6.009
7.7990,4.3493,2.2611,1.6230,5.164
7.8090,3.5842,0.7763,1.6135,4.007
7.8180,2.5142,-1.5241,2.0558,3.588
7.8310,1.3456,-3.4391,2.8847,4.686
7.8610,0.5020,-4.8094,5.0365,6.982
7.8650,-0.9681,-5.7725,5.7139,8.180
7.8680,-2.6008,-5.7397,5.9686,8.679
7.8720,-4.6993,-4.6542,4.5857,8.048
7.8790,-6.2553,-3.6617,2.3048,7.606
7.8910,-8.2111,-2.7752,-1.1847,8.748
7.8990,-8.6915,-1.9412,-2.6567,9.293
7.9080,-7.9315,-0.4558,-3.2648,8.589
7.9170,-7.0122,1.1600,-3.3767,7.869
7.9300,-6.0227,2.6888,-3.1983,7.330
7.9490,-5.5936,3.0990,-2.0881,6.727
7.9500,-5.6392,2.5906,-0.2722,6.212
7.9570,-5.2540,2.4381,0.8172,5.849
7.9680,-4.1279,2.7005,1.6076,5.188
7.9780,-2.9727,3.0058,2.0522,4.699
7.9920,-1.5380,3.1764,2.0936,4.103
7.9970,0.7334,2.7936,1.2078,3.131
8.0090,5.5210,1.1167,-2.2259,6.057
8.0190,9.2624,-0.7934,-7.9897,12.258
8.0320,8.6001,-2.1352,-9.5900,13.057
8.0380,4.6244,-2.7222,-9.0590,10.529
8.0650,0.7070,-3.3603,-8.7417,9.392
8.0690,-1.6849,-3.8081,-8.7083,9.653
8.0730,-1.7100,-3.3055,-7.4795,8.354
8.0800,-1.2768,-2.6532,-5.3844,6.137
8.0930,-2.5273,-2.5686,-3.1978,4.818
8.0980,-4.7527,-3.1512,-1.7903,5.977
8.1110,-7.4333,-4.1694,-1.6623,8.683
8.1190,-9.1109,-4.9156,-2.6075,10.676
8.1300,-10.6443,-5.3612,-4.9649,12.911
8.1390,-11.8514,-5.3863,-7.3300,14.940
8.1650,-13.1089,-6.1791,-7.9251,16.518
8.1660,-14.8061,-8.4393,-4.9718,17.753
8.2010,-14.7608,-9.5195,-0.3159,17.567
8.2020,-12.7795,-8.8140,2.1730,15.676
8.2020,-9.9873,-7.9222,0.6391,12.764
8.2030,-5.5530,-6.6729,-2.2142,8.959
8.2130,-1.8198,-6.3061,-6.5054,9.241
8.2170,2.1655,-6.9375,-6.5596,9.790
8.2430,3.1841,-7.3746,1.5492,8.181
8.2440,2.0270,-7.0978,7.2807,10.368
8.2490,2.2807,-7.3472,9.0315,11.864
8.2600,3.5840,-8.3267,9.5572,13.173
8.2690,5.7865,-9.1237,9.1400,14.152
8.2820,7.0239,-9.5816,8.5255,14.623
8.2890,5.2526,-9.8462,4.3676,11.984
8.3140,1.3824,-8.7264,-4.2942,9.823
8.3180,0.1263,-6.9419,-4.8544,8.472
8.3200,1.1850,-4.4730,-2.0825,5.074
8.3290,2.3275,-2.5251,0.9983,3.576
8.3380,4.5295,-0.1758,3.1815,5.538
8.3530,5.9500,1.5768,4.0577,7.372
8.3580,6.0323,1.4916,4.3211,7.569
