time,gFx,gFy,gFz,TgF
18.522000,-0.4682,-0.2949,0.7216,0.909
18.528000,-0.4823,-0.2939,0.6674,0.874
18.541000,-0.4884,-0.2888,0.6049,0.829
18.546000,-0.4814,-0.2847,0.5636,0.794
18.550000,-0.4715,-0.2750,0.5276,0.759
18.553000,-0.4896,-0.2686,0.5143,0.759
18.556000,-0.5413,-0.2669,0.5051,0.787
18.562000,-0.6318,-0.2614,0.4862,0.839
18.576000,-0.7231,-0.2516,0.4539,0.890
18.580000,-0.8300,-0.2399,0.4046,0.954
18.581000,-0.9848,-0.2165,0.2945,1.050
18.585000,-1.0804,-0.1410,0.1597,1.101
18.587000,-1.1060,-0.0746,0.0486,1.110
18.589000,-1.1176,-0.0213,-0.0886,1.121
18.595000,-1.1077,0.0254,-0.2090,1.128
18.598000,-1.0899,0.0607,-0.2849,1.128
18.602000,-1.1023,0.0964,-0.3667,1.166
18.607000,-1.1166,0.1225,-0.3816,1.186
18.612000,-1.1479,0.1424,-0.4417,1.238
18.619000,-1.1790,0.1700,-0.4692,1.280
18.622000,-1.2364,0.1856,-0.4930,1.344
18.627000,-1.2582,0.1867,-0.5003,1.367
18.635000,-1.2401,0.1831,-0.4876,1.345
18.638000,-1.1955,0.1738,-0.4479,1.288
18.642000,-1.1537,0.1356,-0.3540,1.214
18.647000,-1.1266,0.0978,-0.2453,1.157
18.653000,-1.0864,0.0865,-0.1455,1.100
18.658000,-1.0610,0.0726,-0.0476,1.065
18.662000,-1.0888,0.0248,0.0594,1.091
18.669000,-1.1001,-0.0276,0.2171,1.122
18.672000,-1.0640,-0.0199,0.3164,1.110
18.679000,-1.0228,0.0109,0.3832,1.092
18.683000,-0.9976,0.0261,0.4627,1.100
18.691000,-0.9809,0.0275,0.5791,1.139
18.695000,-0.9946,0.0015,0.6638,1.196
18.700000,-0.9866,0.0110,0.7096,1.215
18.704000,-0.9589,0.0454,0.7448,1.215
18.710000,-0.9205,0.0546,0.8047,1.224
18.715000,-0.9292,-0.0002,0.8232,1.241
18.723000,-0.9594,-0.0672,0.8090,1.257
18.726000,-1.0021,-0.1246,0.7841,1.279
18.728000,-1.0340,-0.1616,0.7351,1.279
18.734000,-1.0429,-0.1882,0.6634,1.250
18.744000,-1.0254,-0.1823,0.5585,1.182
18.745000,-0.9891,-0.1582,0.4517,1.099
18.761000,-0.9529,-0.1294,0.3536,1.025
18.761000,-0.9589,-0.1268,0.2441,0.998
18.762000,-0.9817,-0.1480,0.1487,1.004
18.763000,-0.9899,-0.1636,0.0572,1.005
18.768000,-0.9959,-0.1719,-0.0303,1.011
18.772000,-0.9899,-0.1809,-0.1617,1.019
18.778000,-0.9880,-0.1986,-0.3042,1.053
18.782000,-0.9826,-0.2057,-0.3735,1.071
18.788000,-0.9883,-0.2019,-0.4279,1.096
18.792000,-1.0064,-0.1897,-0.4485,1.118
18.798000,-1.0489,-0.1909,-0.4018,1.139
18.803000,-1.0757,-0.2116,-0.3165,1.141
18.809000,-1.0944,-0.2100,-0.2218,1.136
18.812000,-1.0931,-0.1968,-0.1335,1.119
18.824000,-1.0775,-0.1638,-0.0592,1.092
18.828000,-1.0451,-0.1474,0.0370,1.056
18.831000,-1.0305,-0.1346,0.0928,1.043
18.835000,-1.0377,-0.1159,0.1253,1.052
18.841000,-1.0506,-0.0859,0.1490,1.065
18.845000,-1.0745,-0.0368,0.1655,1.088
18.848000,-1.0986,0.0046,0.1599,1.110
18.861000,-1.1176,0.0507,0.1360,1.127
18.864000,-1.1374,0.0956,0.1037,1.146
18.867000,-1.1793,0.1371,0.0772,1.190
18.869000,-1.2512,0.1438,0.0723,1.262
18.879000,-1.3786,0.1281,0.0806,1.387
18.880000,-1.4412,0.1357,0.0883,1.450
18.882000,-1.4691,0.1439,0.0744,1.478
18.887000,-1.4459,0.1612,0.0233,1.455
18.892000,-1.3855,0.1824,-0.0451,1.398
18.898000,-1.3189,0.1956,-0.1146,1.338
18.903000,-1.2760,0.1962,-0.1533,1.300
18.907000,-1.2465,0.1940,-0.1489,1.270
18.912000,-1.2024,0.1976,-0.1101,1.223
18.929000,-1.1744,0.1814,-0.0723,1.191
18.929000,-1.1271,0.1669,-0.0507,1.141
18.930000,-1.0558,0.1570,-0.0117,1.067
18.934000,-0.9409,0.1515,0.0274,0.953
18.938000,-0.8333,0.1236,0.0567,0.844
18.941000,-0.8517,0.0634,0.0484,0.855
18.947000,-0.9087,0.0172,0.0257,0.909
18.953000,-0.9408,-0.0115,0.0083,0.941
18.959000,-0.9147,0.0015,0.0173,0.915
18.962000,-0.8681,0.0221,0.0434,0.870
18.970000,-0.8091,0.0183,0.0261,0.810
18.973000,-0.7499,-0.0268,-0.0103,0.750
18.978000,-0.7145,-0.0541,-0.0332,0.717
18.982000,-0.6833,-0.0738,-0.0520,0.689
18.990000,-0.7031,-0.1213,-0.0872,0.719
18.994000,-0.7969,-0.1538,-0.0707,0.815
18.999000,-0.8782,-0.1573,0.0033,0.892
19.003000,-0.8977,-0.1443,0.0417,0.910
19.011000,-0.8797,-0.1297,0.0564,0.891
19.016000,-0.8498,-0.1110,0.0678,0.860
19.025000,-0.7649,-0.0926,0.0729,0.774
19.028000,-0.6744,-0.0877,0.1037,0.688
19.030000,-0.5789,-0.0928,0.1328,0.601
19.033000,-0.5316,-0.1138,0.1584,0.566
19.045000,-0.5983,-0.1659,0.2123,0.656
19.048000,-0.7051,-0.2022,0.2599,0.778
19.051000,-0.7944,-0.1956,0.2345,0.851
19.053000,-0.8861,-0.1682,0.1802,0.920
19.060000,-0.9714,-0.1449,0.1230,0.990
19.062000,-1.0221,-0.1142,0.0611,1.030
19.071000,-1.0136,-0.0796,0.0088,1.017
19.072000,-0.9811,-0.0492,-0.0610,0.984
19.078000,-0.9563,-0.0308,-0.1248,0.965
19.082000,-0.9205,-0.0208,-0.1448,0.932
19.088000,-0.8805,-0.0161,-0.1253,0.890
19.092000,-0.8579,-0.0109,-0.1170,0.866
19.098000,-0.8375,-0.0060,-0.0867,0.842
19.103000,-0.8000,0.0076,-0.0415,0.801
19.108000,-0.7515,0.0309,0.0342,0.753
19.112000,-0.6806,0.0732,0.0650,0.688
19.121000,-0.6941,0.0679,0.0890,0.703
19.124000,-0.8576,-0.0029,0.1493,0.871
19.128000,-1.1283,-0.1257,0.2362,1.160
19.133000,-1.2228,-0.1904,0.2596,1.264
19.141000,-1.2187,-0.2113,0.2637,1.265
19.145000,-1.1664,-0.2050,0.2509,1.211
19.147000,-1.0881,-0.1835,0.2361,1.128
19.159000,-0.9997,-0.1252,0.1650,1.021
19.159000,-0.9828,-0.0822,0.1054,0.992
19.164000,-1.0285,-0.0877,0.0623,1.034
19.172000,-1.1054,-0.1246,0.0616,1.114
19.173000,-1.1805,-0.1670,0.0719,1.194
19.178000,-1.2041,-0.1877,0.0636,1.220
19.182000,-1.1901,-0.2066,0.0282,1.208
19.188000,-1.1170,-0.2042,-0.0090,1.136
19.192000,-1.0432,-0.2092,-0.0001,1.064
19.198000,-1.0444,-0.2376,0.0355,1.072
19.202000,-1.0930,-0.2861,0.0712,1.132
19.207000,-1.1333,-0.3198,0.0921,1.181
19.212000,-1.1210,-0.3132,0.1058,1.169
19.219000,-1.1176,-0.2912,0.1323,1.162
19.222000,-1.1051,-0.2714,0.1512,1.148
19.228000,-1.0724,-0.2576,0.1383,1.112
19.232000,-1.0493,-0.2620,0.1026,1.086
19.239000,-1.0200,-0.2823,0.0564,1.060
19.242000,-0.9837,-0.2984,0.0375,1.029
19.249000,-0.9220,-0.3064,0.0439,0.973
19.253000,-0.8477,-0.2926,0.0931,0.902
19.260000,-0.8899,-0.2821,0.2217,0.959
19.263000,-0.9659,-0.2646,0.3001,1.045
19.271000,-1.0311,-0.2249,0.3540,1.113
19.274000,-1.1217,-0.1870,0.3294,1.184
19.278000,-1.2030,-0.1593,0.1841,1.227
19.282000,-1.2203,-0.1192,-0.0343,1.227
19.290000,-1.1892,-0.0836,-0.1256,1.199
19.293000,-1.1645,-0.0597,-0.1357,1.174
19.298000,-1.1889,-0.0730,-0.0614,1.193
19.305000,-1.2320,-0.1214,0.0577,1.239
19.308000,-1.2300,-0.1659,0.1212,1.247
19.312000,-1.1884,-0.1896,0.1328,1.211
19.320000,-1.1750,-0.2017,0.1540,1.202
19.322000,-1.1680,-0.2030,0.1532,1.195
19.328000,-1.1382,-0.1898,0.1521,1.164
19.332000,-1.0988,-0.1758,0.1309,1.120
19.338000,-1.0940,-0.1626,0.1125,1.112
19.342000,-1.1375,-0.1531,0.1098,1.153
19.347000,-1.2256,-0.1412,0.0894,1.237
19.355000,-1.2781,-0.1255,0.0242,1.284
19.359000,-1.2701,-0.0904,-0.0662,1.275
19.362000,-1.2461,-0.0481,-0.1231,1.253
19.375000,-1.2506,-0.0099,-0.1201,1.256
19.375000,-1.2169,0.0237,-0.0942,1.221
19.378000,-1.1763,0.0407,-0.0713,1.179
19.382000,-1.1302,0.0557,-0.0417,1.132
19.388000,-1.1206,0.0480,0.0111,1.122
19.393000,-1.0183,0.0662,0.0526,1.022
19.399000,-0.9954,0.0663,0.1307,1.006
19.409000,-0.9588,0.0619,0.2299,0.988
19.413000,-0.8189,0.0823,0.2825,0.870
19.416000,-0.6990,0.0958,0.2739,0.757
19.434000,-0.6353,0.0821,0.2599,0.691
19.439000,-0.5338,0.0258,0.2271,0.581
19.442000,-0.4980,-0.0393,0.2542,0.561
19.444000,-0.4771,-0.0228,0.3176,0.574
19.446000,-0.5427,0.0144,0.3704,0.657
19.448000,-0.6982,0.0071,0.3487,0.781
19.450000,-0.7997,-0.0169,0.3090,0.858
19.455000,-0.8181,-0.0550,0.2794,0.866
19.459000,-0.8058,-0.0713,0.1747,0.828
19.462000,-0.7727,-0.0590,0.1057,0.782
19.471000,-0.6705,-0.0673,0.0934,0.680
19.472000,-0.5635,-0.0905,0.1002,0.579
19.479000,-0.5205,-0.1178,0.1366,0.551
19.482000,-0.4827,-0.1279,0.1923,0.535
19.488000,-0.4885,-0.1085,0.2221,0.547
19.491000,-0.4849,-0.0674,0.2092,0.532
19.498000,-0.5181,-0.0099,0.1957,0.554
19.502000,-0.5918,0.0002,0.1612,0.613
19.508000,-0.5707,-0.0249,0.1510,0.591
19.512000,-0.5807,-0.1169,0.1875,0.621
19.521000,-0.6193,-0.1780,0.3496,0.733
19.523000,-0.8959,-0.2941,0.2212,0.969
19.529000,-0.9059,-0.2863,0.2123,0.973
19.533000,-0.7685,-0.1913,0.2243,0.823
19.546000,-0.7327,-0.1626,0.1445,0.764
19.550000,-0.6571,-0.0956,0.1427,0.679
19.553000,-0.6075,-0.0650,0.2679,0.667
19.556000,-0.6897,-0.1445,0.2922,0.763
19.559000,-0.8816,-0.2215,0.4036,0.995
19.574000,-1.1239,-0.2940,0.4173,1.234
19.578000,-1.2247,-0.3183,0.3387,1.310
19.580000,-1.0703,-0.2566,0.2530,1.129
19.585000,-0.8333,-0.1774,0.1709,0.869
19.588000,-0.5920,-0.1312,-0.0470,0.608
19.590000,-0.2814,-0.0717,-0.3150,0.428
19.592000,-0.0960,-0.0603,-0.4617,0.475
