time,ax,ay,az,aT
3.4420,-0.0381,-0.0018,-0.1297,0.135
3.4530,-0.0030,0.0095,-0.0575,0.058
3.4620,-0.0030,0.0328,0.0061,0.034
3.4730,-0.0194,0.0179,0.0442,0.052
3.4820,-0.0022,-0.0061,0.1457,0.146
3.4920,0.0167,-0.0068,0.1718,0.173
3.5010,0.0104,-0.0004,0.2018,0.202
3.5150,0.0206,-0.0049,0.1805,0.182
3.5210,-0.0130,0.0082,0.1441,0.145
3.5350,-0.0402,0.0292,0.1235,0.133
3.5410,0.0086,0.0262,0.1224,0.125
3.5520,0.0358,0.0187,0.0975,0.105
3.5600,0.0141,0.0488,0.1528,0.161
3.5730,0.0431,0.0821,0.1964,0.217
3.5810,0.0626,0.0994,0.0700,0.137
3.5940,0.0639,0.0911,-0.0800,0.137
3.6010,0.0316,0.0536,-0.1255,0.140
3.6120,0.0511,0.0412,-0.1372,0.152
3.6310,0.0843,0.0305,-0.1369,0.164
3.6380,0.1278,0.0238,-0.1691,0.213
3.6420,0.1410,0.0057,-0.1715,0.222
3.6520,0.1488,-0.0115,-0.1851,0.238
3.6600,0.1070,-0.0150,-0.2374,0.261
3.6720,0.0253,-0.0194,-0.1966,0.199
3.6800,-0.0128,-0.0181,-0.0939,0.097
3.6930,0.0376,-0.0141,0.0647,0.076
3.7010,0.1019,-0.0502,0.2423,0.268
3.7120,0.0679,-0.0733,0.2956,0.312
3.7240,-0.0193,-0.0868,0.2929,0.306
3.7310,-0.1204,-0.0499,0.1783,0.221
3.7410,-0.1753,0.0084,-0.0484,0.182
3.7520,-0.1816,0.0523,-0.2362,0.303
3.7610,-0.1323,0.0385,-0.3052,0.335
3.7730,-0.0399,-0.0052,-0.3923,0.394
3.7800,-0.0328,-0.0352,-0.3758,0.379
3.7930,-0.0389,-0.0234,-0.2316,0.236
3.8010,-0.0245,-0.0264,-0.1032,0.109
3.8110,-0.0559,-0.0077,0.0187,0.059
3.8230,-0.0346,-0.0058,0.1068,0.112
3.8380,0.0111,-0.0449,0.1220,0.131
3.8430,0.0064,-0.0640,0.1185,0.135
3.8530,0.0184,0.0139,0.0065,0.024
3.8610,0.0230,0.0152,0.0064,0.028
3.8720,-0.1925,0.0133,-0.3225,0.376
3.8800,-0.1928,0.0459,-0.3377,0.392
3.8920,-0.1651,0.0229,-0.2656,0.314
3.9000,-0.1043,-0.0078,-0.1724,0.202
3.9110,-0.1295,-0.0716,-0.2615,0.300
3.9260,-0.2653,-0.0874,-0.3282,0.431
3.9330,-0.2815,-0.1034,-0.2742,0.406
3.9420,-0.1210,-0.1215,-0.1175,0.208
3.9530,0.1285,-0.0610,0.0853,0.166
3.9620,0.3710,-0.0097,0.2882,0.470
3.9740,0.4277,-0.0435,0.3246,0.539
3.9820,0.3858,-0.0579,0.3075,0.497
3.9930,0.2591,-0.1068,0.2060,0.348
4.0010,0.0840,-0.1342,0.0381,0.163
4.0120,0.0009,-0.0726,-0.0334,0.080
4.0230,-0.0005,0.0574,-0.0695,0.090
4.0340,0.0374,0.1040,-0.1099,0.156
4.0570,0.0269,0.1096,-0.1738,0.207
4.0620,-0.0207,0.0324,-0.3149,0.317
4.0650,-0.0637,-0.0222,-0.3565,0.363
4.0740,-0.0180,0.0281,-0.2605,0.263
4.0810,0.1148,0.1006,-0.1506,0.214
4.0930,0.1611,0.1212,-0.0307,0.204
4.1000,0.1219,0.0458,-0.0156,0.131
4.1110,0.0353,0.0187,-0.0131,0.042
4.1200,-0.0567,0.0148,0.0096,0.059
4.1320,-0.0564,0.0201,0.0086,0.060
4.1400,-0.0657,0.0194,0.0724,0.100
4.1510,0.0172,0.0397,0.0923,0.102
4.1610,0.0563,-0.0095,0.0145,0.059
4.1710,0.0350,-0.0035,-0.0726,0.081
4.1810,-0.0135,-0.0386,-0.1139,0.121
4.1940,0.0044,-0.1087,-0.1671,0.199
4.2010,0.0938,-0.1103,-0.1125,0.183
4.2110,0.1586,-0.0687,-0.0774,0.189
4.2220,0.0853,-0.0450,-0.1023,0.141
4.2310,0.0856,-0.0454,-0.1022,0.141
4.2430,-0.0926,-0.0249,-0.1429,0.172
4.2510,-0.0550,-0.0153,-0.1359,0.147
4.2610,0.0348,-0.0080,-0.0849,0.092
4.2730,0.0864,-0.0545,-0.0556,0.116
4.2800,0.0739,-0.0603,0.0145,0.096
4.2920,0.0806,-0.0279,-0.0111,0.086
4.3010,0.0858,-0.0213,-0.0845,0.122
4.3180,0.0490,-0.0216,-0.1458,0.155
4.3330,0.0496,-0.0219,-0.1457,0.155
4.3330,0.0164,-0.0453,-0.1503,0.158
4.3430,0.0416,-0.0327,-0.1359,0.146
4.3520,0.1078,-0.0246,-0.1682,0.201
4.3620,0.0852,-0.0466,-0.2291,0.249
4.3740,0.0851,-0.0475,-0.2290,0.249
4.3800,-0.0748,-0.0771,-0.1127,0.156
4.3930,-0.0632,-0.0485,0.0215,0.083
4.4010,-0.0325,-0.0421,0.0968,0.110
4.4110,-0.0247,-0.0570,0.0464,0.078
4.4210,-0.0606,-0.0776,-0.0610,0.116
4.4350,-0.0426,-0.0352,-0.1504,0.160
4.4420,-0.0463,-0.0034,-0.2015,0.207
4.4540,-0.0258,0.0149,-0.2517,0.253
4.4630,-0.0309,0.0191,-0.2711,0.273
4.4750,-0.0299,0.0155,-0.1867,0.190
4.4830,0.0461,-0.0147,-0.0752,0.089
4.4920,0.1279,-0.0195,0.0181,0.131
4.5000,0.1548,-0.0239,0.0921,0.182
