time,ax,ay,az,aT
3.5290,0.1382,-0.0936,-0.1455,0.221
3.5350,0.1729,-0.0605,-0.1165,0.217
3.5510,0.1469,0.0115,-0.0625,0.160
3.5560,0.0361,0.0311,0.0153,0.050
3.5660,-0.0457,0.0143,-0.0587,0.076
3.5760,-0.1039,-0.0216,-0.1251,0.164
3.5860,-0.0990,-0.0761,-0.2125,0.247
3.5950,-0.0205,-0.1069,-0.2348,0.259
3.6060,0.0487,-0.0786,-0.2234,0.242
3.6150,0.0866,-0.0451,-0.1295,0.162
3.6310,0.1077,-0.0589,-0.0393,0.129
3.6360,0.0424,-0.0717,-0.0010,0.083
3.6480,-0.0086,-0.0805,0.0541,0.097
3.6560,-0.0788,-0.0987,0.0913,0.156
3.6690,-0.0915,-0.0563,0.0748,0.131
3.6900,-0.1121,-0.0284,0.0397,0.122
3.6930,-0.1685,-0.0283,-0.0739,0.186
3.7000,-0.1789,-0.0213,-0.1715,0.249
3.7110,-0.1074,-0.0165,-0.2459,0.269
3.7150,-0.0195,-0.0253,-0.2592,0.261
3.7270,-0.0300,-0.0441,-0.2284,0.235
3.7350,-0.0734,-0.0306,-0.2260,0.240
3.7460,-0.1362,-0.0063,-0.1840,0.229
3.7550,-0.1564,-0.0369,-0.1445,0.216
3.7710,-0.1188,-0.0625,-0.0780,0.155
3.7770,-0.0306,-0.0912,-0.0293,0.101
3.7860,0.0601,-0.1170,0.0463,0.139
3.7960,0.1168,-0.1012,0.0915,0.180
3.8060,0.1092,-0.0596,0.0527,0.135
3.8160,0.0395,-0.0465,-0.0128,0.062
3.8280,-0.0241,-0.0597,-0.0827,0.105
3.8350,-0.0749,-0.0720,-0.1116,0.152
3.8490,0.0218,-0.0400,-0.0902,0.101
3.8560,0.0879,-0.0679,-0.0843,0.139
3.8680,0.0636,-0.1056,-0.1502,0.194
3.8850,-0.0023,-0.1175,-0.1621,0.200
3.8890,-0.0254,-0.0872,-0.1977,0.218
3.9190,0.0005,-0.0381,-0.2379,0.241
3.9200,0.0268,-0.0260,-0.1514,0.156
3.9200,0.0149,-0.0321,-0.0392,0.053
3.9270,0.0229,-0.0505,0.0032,0.056
3.9360,0.0131,-0.0859,0.0362,0.094
3.9460,0.0474,-0.0932,0.0861,0.135
3.9550,0.0503,-0.0970,0.0909,0.142
3.9670,0.0323,-0.1349,0.1909,0.236
3.9770,0.0442,-0.1397,0.2377,0.279
3.9860,0.0390,-0.1180,0.2625,0.290
3.9970,0.0623,-0.0786,0.1206,0.157
4.0060,0.0755,-0.0204,0.0431,0.089
4.0160,0.0285,0.0927,-0.1423,0.172
4.0300,-0.0050,0.1790,-0.2745,0.328
4.0350,-0.0971,0.1708,-0.4306,0.473
4.0470,-0.2257,0.0843,-0.4878,0.544
4.0550,-0.2216,0.0428,-0.4969,0.546
4.0670,-0.1605,0.0427,-0.4981,0.525
4.0780,-0.0503,-0.0038,-0.4327,0.436
4.0860,-0.0114,-0.0572,-0.3209,0.326
4.0960,0.0128,-0.0557,-0.1900,0.198
4.1060,0.0173,-0.0214,-0.0962,0.100
4.1160,0.0323,0.0031,-0.0290,0.044
4.1300,0.0042,-0.0378,-0.0633,0.074
4.1360,-0.0177,-0.1049,-0.1123,0.155
4.1480,0.0079,-0.1118,-0.0692,0.132
4.1570,0.1024,-0.0901,0.0166,0.137
4.1720,0.2071,-0.0064,0.0286,0.209
4.1850,0.2073,0.0020,0.0782,0.222
4.1890,0.0998,-0.0388,0.0564,0.121
4.1960,0.0022,-0.0842,0.0195,0.086
4.2070,-0.0162,-0.0914,0.0190,0.095
4.2170,-0.0094,-0.1274,0.0609,0.142
4.2320,-0.0196,-0.1578,0.0493,0.167
4.2360,0.0028,-0.1462,0.0211,0.148
4.2480,-0.0176,-0.1119,0.0312,0.118
4.2560,0.0650,-0.0465,0.0677,0.105
4.2720,0.0938,-0.0162,0.0362,0.102
4.2920,0.0910,-0.0139,-0.0442,0.102
4.2970,0.0393,-0.0279,-0.2070,0.213
4.2990,0.0511,-0.0151,-0.2915,0.296
4.3080,0.0855,-0.0038,-0.3724,0.382
4.3210,0.0462,-0.0164,-0.3768,0.380
4.3320,-0.0373,0.0967,-0.3733,0.387
4.3360,-0.0755,0.1905,-0.4626,0.506
4.3480,-0.0990,0.1371,-0.4343,0.466
4.3550,-0.0448,0.0420,-0.2558,0.263
